"","week","weekly_rank","show_title","weekly_hours_viewed","runtime","weekly_views","cumulative_weeks_in_top_10","is_staggered_launch","awards","genre_Dramas","genre_Comedies","genre_International","english"
"253","2021-09-12",8,"Vivo",6960000,2.2333,3116464.42484216,6,"false",FALSE,FALSE,FALSE,FALSE,TRUE
"254","2021-09-12",9,"Sweet Girl",6570000,2,3285000,4,"false",FALSE,TRUE,FALSE,FALSE,TRUE
"255","2021-09-12",1,"Prey",13440000,1.6667,8063838.72322553,1,"false",FALSE,FALSE,FALSE,TRUE,FALSE
"256","2021-09-12",2,"JJ+E",5410000,1.8667,2898162.53281191,1,"false",FALSE,TRUE,FALSE,TRUE,FALSE
"257","2021-09-12",3,"Kung Fu Hustle",3250000,1.7333,1875036.05838574,1,"false",FALSE,FALSE,TRUE,FALSE,FALSE
"258","2021-09-12",5,"The Women and the Murderer",2060000,1.75,1177142.85714286,1,"false",FALSE,FALSE,FALSE,TRUE,FALSE
"259","2021-09-12",6,"Blood Red Sky",1780000,1.5833,1124234.19440409,8,"false",FALSE,FALSE,FALSE,TRUE,FALSE
"260","2021-09-12",8,"The Secret Diary of an Exchange Student",1450000,2,725000,4,"false",FALSE,FALSE,TRUE,TRUE,FALSE
"261","2021-09-12",9,"Out of my league",1440000,1.5167,949429.682864113,4,"false",FALSE,TRUE,TRUE,TRUE,FALSE
"262","2021-09-05",1,"He's All That",36730000,1.4333,25626177.3529617,2,"false",FALSE,FALSE,TRUE,FALSE,TRUE
"263","2021-09-05",2,"SAS: Rise of the Black Swan",32730000,1.6667,19637607.247855,2,"false",FALSE,FALSE,FALSE,TRUE,TRUE
"264","2021-09-05",3,"Afterlife of the Party",26710000,2.0167,13244409.1833193,1,"false",FALSE,FALSE,TRUE,FALSE,TRUE
"265","2021-09-05",4,"Sweet Girl",13390000,2.2333,5995611.8748041,3,"false",FALSE,TRUE,FALSE,FALSE,TRUE
"266","2021-09-05",5,"Vivo",9380000,1.75,5360000,5,"false",FALSE,FALSE,FALSE,FALSE,TRUE
"267","2021-09-05",6,"The Loud House Movie",6640000,1.5167,4377925.75987341,3,"false",FALSE,FALSE,TRUE,FALSE,TRUE
"268","2021-09-05",7,"Worth",6480000,2,3240000,1,"false",FALSE,TRUE,FALSE,FALSE,TRUE
"269","2021-09-05",9,"Welcome Home Roscoe Jenkins",6270000,2,3135000,1,"false",FALSE,FALSE,TRUE,FALSE,TRUE
"270","2021-09-05",10,"Green Lantern",6230000,2.2333,2789593.87453544,1,"false",FALSE,FALSE,FALSE,FALSE,TRUE
"271","2021-09-05",2,"Out of my league",2270000,1.4667,1547692.09790687,3,"false",FALSE,TRUE,TRUE,TRUE,FALSE
"272","2021-09-05",3,"The Secret Diary of an Exchange Student",2100000,1.4333,1465150.35233378,3,"false",FALSE,FALSE,TRUE,TRUE,FALSE
"273","2021-09-05",4,"Blood Red Sky",2080000,1.6667,1247975.04049919,7,"false",FALSE,FALSE,FALSE,TRUE,FALSE
"274","2021-09-05",6,"Black Island",1420000,1.8667,760700.701773183,3,"false",FALSE,FALSE,FALSE,TRUE,FALSE
"275","2021-09-05",7,"Rurouni Kenshin: The Beginning",1330000,2.0833,638410.214563433,6,"false",FALSE,FALSE,FALSE,TRUE,FALSE
"276","2021-09-05",8,"Thimmarusu",1220000,1.8667,653559.757861467,1,"false",FALSE,TRUE,FALSE,TRUE,FALSE
"277","2021-09-05",10,"Pinkfong & Baby Shark's Space Adventure",1120000,1.4333,781413.52124468,1,"false",FALSE,FALSE,FALSE,FALSE,FALSE
"278","2021-08-29",1,"Sweet Girl",48140000,1.4667,32821981.3186064,2,"false",FALSE,TRUE,FALSE,FALSE,TRUE
"279","2021-08-29",2,"He's All That",42810000,1.0833,39518139.0196621,1,"false",FALSE,FALSE,TRUE,FALSE,TRUE
"280","2021-08-29",3,"SAS: Rise of the Black Swan",35650000,1.0833,32908704.8832272,1,"false",FALSE,FALSE,FALSE,TRUE,TRUE
"281","2021-08-29",4,"The Loud House Movie",16910000,2,8455000,2,"false",FALSE,FALSE,TRUE,FALSE,TRUE
"282","2021-08-29",5,"The Old Ways",13720000,2,6860000,1,"false",FALSE,FALSE,FALSE,FALSE,TRUE
"283","2021-08-29",6,"Vivo",13430000,2,6715000,4,"false",FALSE,FALSE,FALSE,FALSE,TRUE
"284","2021-08-29",7,"The Witcher: Nightmare of the Wolf",13300000,1.6333,8143023.32700667,1,"false",FALSE,FALSE,FALSE,FALSE,TRUE
